estid,os,deviceType,li_age,li_gender,li_income,city_location,city_size,city_tech,city_urban,organization
ZGkACmTjf7MAAAAIDHimAw==,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,0,1,1,0,1,0,1,0,1,0
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmUM6+wAAAAJIeF7Aw==,0,1,4,1,4,1,1,0,1,1
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,3,1,1,0,0,0,2,0
ZGkACmVzuR8AAAAIBAx8Aw==,1,0,3,1,1,0,0,0,2,0
ZGkACmWRdYUAAAAIYuJtAw==,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,0,1,3,0,5,0,2,0,1,1
ZGkACmWRdYUAAAAIYuJtAw==,0,1,3,0,5,0,2,0,1,1
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
ZGkADGSlsx0AAAAJAw2cAw==,0,1,4,0,5,1,1,0,1,3
